sku,name,category,subcategory,description,moq,gst_rate,base_price,list_price,has_sizes,image,lead_time_days,active,sort_order,related_skus,auto_related_skus,event_tags
ADAL-048,Bamboo Steel Bottle,Drinkware,Drinkware,"Brand: Generic

- Made from durable, BPA-free, and toxin-free bamboo and stainless steel
- Leak-proof with a tight sealing cap for reliable use",25,18,930,1550,TRUE,https://cdn.store.link/products/store18473/the78x-csun-0154.png?versionId=821wpiCGzPC4vC8VjZh3fWqggX8FqQhy,7,TRUE,10,,,Sustainability
UG-DB65,Hydromonk Cork Ceramic Mug With Cork Base - Black,Drinkware,Drinkware,"Brand: Urban Gear

- Capacity: 400ml, ideal for all types of daily drinks
- Ceramic mug with cork bottom and lid
- Lid features a sliding top and rubber gasket for heat retention
- Keeps coffee/tea warm for longer periods
- Not suitable for dishwasher or microwave use (to preserve cork base)
- Dimensions: 12 x 8.5 x 11 cm",25,18,479,599,FALSE,https://cdn.store.link/products/store18473/idh5am-csun-0779.jpg?versionId=bEQaXquB2dFVag8jG5HsDt1Qj3Av_JQu,7,TRUE,11,,,Personal Milestone
UG 02,Hydromonk Eco Cork - Wheat Fibre Eco Friendly Mug - Beige,Drinkware,Drinkware,"Brand: Urban Gear

- Eco-friendly 450ml wheat fiber mug with a natural cork grip.  
- Designed for a sustainable and comfortable drinking experience.  
- Made from BPA-free, antibacterial, and food-grade materials.",25,18,275,550,TRUE,https://cdn.store.link/products/store18473/dc-dh9-csun-1547.jpg?versionId=.HgN8bukRz3PqV_zNHFKebH8XfcQwOMG,7,TRUE,12,,,Sustainability
CSUN-0226,Hydromonk Plain Ceramic Mug - White,Drinkware,Drinkware,"Brand: Generic


- 11 oz ceramic mug, microwave and top rack dishwasher safe
- Classic ceramic mug with a smooth finish and sturdy handle
- Perfect for hot beverages like coffee, tea, or cocoa
- Durable and easy to clean,",50,18,190,300,TRUE,https://cdn.store.link/products/store18473/169nsm-csun-0226.png?versionId=3VqTWFD16t0BytCyOHdIALbHnukZ5B05,30,TRUE,13,,,New Joinee Program
URBAN-296,Hydromonk Smart Vacuum Flask - White,Drinkware,Drinkware,"Brand: Urban Gear

- Double-wall insulated bottle that keeps beverages hot or cold for hours
- Features a smart temperature display on the lid for quick, easy reading
- Durable stainless steel construction with a sleek, modern design
- Leak-proof and portable, ideal for travel, office, or outdoor use",25,18,1000,1250,TRUE,https://cdn.store.link/products/store18473/iqi7er-csun-0146.png?versionId=vrBdsD1Km.eOkDRHdUK5I21quCEZAZ5S,7,TRUE,14,,,New Mom & Baby Kit
CSUN-0081,Hydromonk Ultra Pre Hot & Cold Bottle - Matt II - Black,Drinkware,Drinkware,"Brand: Hydromonk
- Made of  high-grade 304 stainless steel
- Rust-free and durable
- Capacity: 500ml, made in India
- Dimensions: 7 x 7 x 26 cm",100,18,900,1500,TRUE,https://cdn.store.link/products/store18473/d4b-9z-csun-0081.png?versionId=9PqWqLCWZIdNP_GdET4YVRh0JCtiwWZP,30,TRUE,15,,,New Joinee Program
CSUN-0082,Hydromonk Ultra Pre Hot & Cold Bottle - Matt II - White,Drinkware,Drinkware,"Brand: Hydromonk
- Made of  high-grade 304 stainless steel
- Rust-free and durable
- Capacity: 500ml, made in India
- Dimensions: 7 x 7 x 26 cm",100,18,900,1500,TRUE,https://cdn.store.link/products/store18473/zaotay-csun-0082.png?versionId=rH7DfUc6hSBXofvb_Hh9IU8zaEIpTOi8,30,TRUE,16,,,New Joinee Program
CSUN-0063,Stainless Steel Travel Mug - TOBY - Black,Drinkware,Drinkware,"Brand: Hydromonk

- SS double-wall travel mug with a 250ml capacity for on-the-go use
- Features a food-grade PP inner lining and is BPA-free for safe use
- Leak-proof design ensures mess-free travel
- Durable stainless steel exterior with a sleek finish
- Dimensions: 7 x 7 x 13.5 cm",500,18,495,825,TRUE,https://cdn.store.link/products/store18473/u6p5ic-csun-0063.png?versionId=iCmK5GkmD6yeqWCYhJD_eZwaPR5MQ6yC,30,TRUE,17,,,New Joinee Program
URBAN-156,Urban Gear Sigma Stainless Steel Sports Bottle - Blue,Drinkware,Drinkware,"Brand : Urban Gear

- Made of durable stainless steel with metallic color
- BPA-free, designed to keep you cool and hydrated
- Capacity: 750ml, weight: 167g, featuring a convenient flip cap
- Dimensions: 7.2 x 7.2 x 23 cm",25,18,400,499,TRUE,https://cdn.store.link/products/store18473/tkza-k-ug-sigma-b.jpg?versionId=FGdONaGDofgNZdXIln44.iLgrcM9FI10,7,TRUE,18,,,New Joinee Program
URBAN-322,Urban Gear iBamboo Bamboo Mug,Drinkware,Drinkware,"Brand: Urban Gear


- Sustainable and eco-friendly travel coffee cup
- Made from high-quality bamboo fibre and corn starch
- Spill-proof lid and heat-resistant sleeve for a secure grip
-100% BPA-free and non-toxic
- Hygienic and safe alternative to plastic or Styrofoam
- Dimension: 9.5 x 9.5 x 11.3 cm",25,18,159,199,TRUE,https://cdn.store.link/products/store18473/2ho5uy-ug--bamboo-mug-a.jpg?versionId=WifGE3RCn7Znkluqpc6WymyM1F2yfygs,7,TRUE,19,,,"New Joinee Program,Sustainability"
OW-GPOMNPKBLK,Okami Omnipack Dawn-to-Dusk Duffle Bag | 35 litres Gym&Travel Bag with Detachable Strap | Weekender Travel Bag with Built-in Laptop and Tablet Compartment | Cabin Bag with Trolley Sleeve (Black),Duffles,Duffles,"Brand: OKAMI


- Sleek and versatile duffle bag designed for work, travel, and short getaways.
- Ideal as an overnighter, weekender, or cabin bag with a stylish and compact form.
- Features ample storage with auto compression to efficiently pack essentials.
- Designed for professionals on the go, ensuring easy mobility and convenience.
- Equipped with a 180° opening and dual-compartment design for effortless packing and access.
- Separate compartment helps keep shoes and toiletries apart from clothes and essentials.
- Includes twin quick-access mesh pockets for storing daily necessities.
- Features a rear hidden pocket to securely store valuables like wallet, cash, cards, and passport.
- Comes with a key hook (dog hook) to keep keys secure and easily accessible.
- Includes a trolley pass-through strap for convenient travel with luggage.
- Made with premium water-resistant fabric and durable zippers for long-lasting use.",100,18,5599,6999,FALSE,https://cdn.store.link/products/store18473/rbt3qg-omnipack%20black.png?versionId=USLsYoSWDAlBfV7tTP2aqVS8m2yRpOec,7,TRUE,20,,,
CSUN-0265,travelXOXO Adventure Duffle Bag,Duffles,Duffles,"Brand: travel XOXO

- Water-resistant and lightweight design
- Stylish roll-down top with secure clip closure
- Can be carried in three ways: by the clip, as a duffle, or as a backpack
- Available in Red, Lime, Blue, and Black colors
- Packaging: Bulk",25,18,735,1225,FALSE,https://cdn.store.link/products/store18473/ukhykr-csun-0265.jpg?versionId=Q3tUvF7QrR6R9DZsl7tJuFsFOhh0VxV3,14,TRUE,21,,,New Joinee Program
CSUN-3668,travelXOXO Base Camp Voyager Duffle Bag - 35  L - Black/Blue,Duffles,Duffles,"Brand: travel XOXO


- Made from heavy-duty 900D fabric with recycled webbing, buckles, and mesh
- Can be carried as a backpack or duffel",50,18,3150,5250,FALSE,https://cdn.store.link/products/store18473/ioo7lt-whatsapp%20image%202026-08-06%20at%206.20.17%20pm%20%283%29.jpeg?versionId=RTiujOT13jZCvbuCMmjQFMYitGlaQbIq,14,TRUE,22,,,
Smoor Cookies,Smoor Cookies,Food & Ediblles,Food & Ediblles,"Brand: Smoor


- Crisp on the outside with a soft, gooey texture on the inside.
- Infused with rich, aromatic mocha flavor for a delightful coffee-inspired indulgence.
- Offers a delicious combination of contrasting textures and bold flavors.
- Perfect for coffee lovers looking for a decadent sweet treat.
- Ideal for gifting, celebrations, festive occasions, or personal indulgence.",25,18,136,170,FALSE,,14,TRUE,23,,,
Smoor Strawberrry Nougat Bar Pack of 15 Bar Gift Pack (15 x 24 g),Smoor Strawberrry Nougat Bar Pack of 15 Bar Gift Pack (15 x 24 g),Food & Ediblles,Food & Ediblles,"Brand: Smoor


- Pack of 15 strawberry nougat bars for convenient sharing and gifting.
- Made with compound chocolate for a smooth and indulgent chocolate experience.
- Features a delicious strawberry nougat filling for a fruity twist.
- Presented in a convenient bar format, making it easy to enjoy anytime.
- Offers a maximum shelf life of up to 12 months when stored as recommended.
- Suitable for gifting, celebrations, festive occasions, or everyday indulgence.",25,18,359,449,FALSE,,14,TRUE,24,,,
CSUN-3652,SOIL Camp Formal Shirt,Formal Shirts,Formal Shirts,"Brand: SOIL


- Crafted from a premium blend of 70% linen and 30% lyocell for exceptional comfort and breathability.
- Soft, lightweight fabric offers a smooth feel with a naturally relaxed drape.
- Modern fit delivers a clean, versatile silhouette for everyday wear.
- Breathable construction keeps you cool and comfortable across seasons.
- Linen-rich fabric provides a refined texture with a timeless casual appeal.
- Lyocell enhances softness, moisture management, and all-day comfort.
- Ideal for office wear, vacations, casual outings, and weekend styling.
- Durable construction ensures long-lasting performance and shape retention.
- Easy to pair with chinos, shorts, or jeans for a smart-casual look.
- Suitable for logo embroidery or custom branding for corporate and promotional apparel.",100,18,4350,7250,TRUE,https://cdn.store.link/products/store18473/c4hj3w-whatsapp%20image%202026-08-06%20at%206.20.17%20pm%20%2817%29.jpeg?versionId=3LUBp.K.UsH16Nyw9gmIW7LmdasfC6nO,14,TRUE,25,,,
OTOMM-013,Amazon Echo Dot (5th Gen),Gadget & Tech,Gadget & Tech,,25,18,4399,5499,FALSE,https://cdn.store.link/products/store18473/0u-xh3-amazon%20echo%20dot%205th%20gen.png?versionId=eqqHe3OcCixye0QRATO0TL3scjFV9Jp3,14,TRUE,26,,,
OTOMM-015,Apple Watch Ultra 3,Gadget & Tech,Gadget & Tech,"Brand: Apple


- 42mm/46mm aluminium or titanium case
- Always-On Retina OLED display, up to 2,000 nits
- Advanced health, sleep and fitness tracking
- ECG, heart rate, blood oxygen and temperature monitoring
- Emergency SOS, Fall and Crash Detection
- 50m water resistance with GPS and optional 5G
- S10 chip with Double Tap, Wrist Flick and Siri
- Up to 24 hours battery life with fast charging",25,18,71920,89900,FALSE,https://cdn.store.link/products/store18473/jukyjp-apple%20ultra%20watch%203.png?versionId=7DSp_7IPp6W9DbAayUq7pPKspB3PSvuJ,21,TRUE,27,,,
6111990716,Daily Objects Loop Qi2-Certified MagSafe-Compatible Aluminium Power Bank 5000 mAh - Black,Gadget & Tech,Gadget & Tech,"Brand: Daily Objects
- Qi2-certified and MagSafe-compatible 5000mAh power bank designed for fast and efficient wireless charging.
- Delivers up to 15W wireless output for iPhones and future Qi2-enabled phones.
- Supports simultaneous charging of iPhone and Apple Watch with secure magnetic alignment.
- Features a two-way USB-C port with up to 20W output, powered by PD 3.0 and Qualcomm 4 technology.
- Crafted from aerospace-grade aluminium in a sleek black finish with signature Loop design.
- LED display monitors battery percentage in real time.
- Compact dimensions: 11.8 x 6.65 x 1.15 cm; charging speed may vary by device.",25,18,5599,6999,FALSE,https://cdn.store.link/products/store18473/n8onne-loop%20universal%20power%20bank-%205000%20mah%20black.png?versionId=kRkjRL7tl9nXO_Sn.aaUBydssFwuedq.,14,TRUE,28,,,
JBL-051,"JBL
TOUR ONE
MK3 SMART TX",Gadget & Tech,Gadget & Tech,"Brand: JBL


- Smart Tx Transmitter: Handheld dongle with touchscreen; plugs into 3.5mm or USB-C sources and beams audio wirelessly to headphones; acts as Auracast™ hub for sharing audio with nearby JBL users.
- Mastered Sound: 40mm Mica Dome drivers delivering Hi-Res Audio with built-in DAC for lossless USB-C playback.
- Unrivaled Silence: True Adaptive Noise Cancelling 2.0 with 8-microphone system blocks wind, traffic, and office noise.
- Immersive Experience: JBL Spatial 360 with Head Tracking for cinematic sound in movies and gaming.
- Monster Battery: Up to 70 hours total (40 hours ANC on); 5-minute quick charge provides 5 hours of listening.
- Smart Customization: Personi-Fi 3.0 calibrates sound to your hearing profile; Smart Talk pauses music automatically when you speak.",25,18,31999,39999,FALSE,https://cdn.store.link/products/store18473/3sausa-tour%20one%20mk3%20smart%20tx.png?versionId=cqYavL1KqlmRzsvl7L5LyRGElWA6vkBz,14,TRUE,29,,,
CSUN-0139,Pop Socket Basic PopGrip - White,Gadget & Tech,Gadget & Tech,"Brand: Sync

- Designed to keep hands comfortable while texting, taking selfies, and photos
- Prevents phone drops with a secure grip
- Size: 4.06 x 0.76 x 4.06 cm; 200 grams",25,18,30,50,FALSE,https://cdn.store.link/products/store18473/vn178g-csun-0139.png?versionId=ZXtaWnRc79cgzjmrd.TCFjG8kInGtrZn,14,TRUE,30,,,New Joinee Program
CSUN-3478,Beanie Cap,Headwear,Headwear,"Brand: OMG


- Sustainably crafted from 100% recycled polyester acrylic knit
- Soft, warm, and durable construction for cold-weather comfort
- Classic 9"" cuffed design for a secure and snug fit
- Timeless warm white color for versatile styling
- Subtle debossed detailing adds a refined touch
- Lightweight yet insulating for everyday wear
- Ideal for casual outings, outdoor activities, and winter layering",25,18,495,825,FALSE,https://cdn.store.link/products/store18473/q3em09-beanie%20cap.png?versionId=xWde0x2Se75aumEpI2QV.MAQduIpopJP,7,TRUE,31,,,New Mom & Baby Kit
CSUN-0698,Beanie Cap,Headwear,Headwear,"Brand: OMG


- Sustainably crafted from 100% recycled polyester acrylic knit
- Soft, warm, and durable construction for cold-weather comfort
- Classic 9"" cuffed design for a secure and snug fit
- Timeless warm white color for versatile styling
- Subtle debossed detailing adds a refined touch
- Lightweight yet insulating for everyday wear
- Ideal for casual outings, outdoor activities, and winter layering",25,18,495,825,FALSE,https://cdn.store.link/products/store18473/4q6hf7-beanie%20cap1.png?versionId=cXwUsTcY3KTxOVDwZzNbS9SnWMtxVE4d,7,TRUE,32,,,New Mom & Baby Kit
CSUN-0631,OMG Twill Cap 5 Panel - Royal Blue,Headwear,Headwear,"Brand: OMG


- structured cap made from 100% cotton twill fabric
- Value-priced style with a high-profile design
- Available in a wide range of colors to match team uniforms or branding needs",25,18,195,325,FALSE,https://cdn.store.link/products/store18473/p189xj-csun-0631.jpg?versionId=pdGWj6q3Ant7w75qVhfpC6rerABbrayw,7,TRUE,33,,,
CSUN-3629,OMG Twill Cap 6 Panel,Headwear,Headwear,"Brand: OMG


- structured cap made from 100% cotton twill fabric
- Fabric: 100% cotton twill
- Closure: Hook and loop (Velcro)",25,18,195,325,FALSE,https://cdn.store.link/products/store18473/s1-b5l-omg%20supreme%20cap%20-%20red.png?versionId=aMuesz9E85_hBob1h3izqbCFOF9eI8pM,7,TRUE,34,,,
CSUN-3480,OMG Twill Cap 6 Panel - Black,Headwear,Headwear,"Brand: OMG


- structured cap made from 100% cotton twill fabric
- Fabric: 100% cotton twill
- Closure: Hook and loop (Velcro)",25,18,195,325,FALSE,https://cdn.store.link/products/store18473/olgukq-csun-3480.png?versionId=gWSKJrc.0HaptfI3ArCh2j3lmR9.1l6I,7,TRUE,35,,,
CSUN-3481,OMG Twill Cap 6 Panel - Navy Blue,Headwear,Headwear,"Brand: OMG


- structured cap made from 100% cotton twill fabric
- Fabric: 100% cotton twill
- Closure: Hook and loop (Velcro)",25,18,195,325,FALSE,https://cdn.store.link/products/store18473/6njbrr-csun-3481.png?versionId=ZrcQiqE7MKalu40LhrlSOcj.QEWI7rhf,7,TRUE,36,,,New Joinee Program
CSUN-1312,3 in 1 Scented Mini Jar Candles - Hridaya,Home Essentials,Home Essentials,"Brand: HRIDAYA – THE WAX STUDIO


- Dimensions: 40W x 50H mm
- Item Weight: 33 grams
- Number of Items: 1
- Shape: Round
- Material: Glass
- Scent: Soothing Lavender, Vanilla Bean, Rose Petals
- Special Features: Scented, eco-friendly, made from sustainable soy wax, thoughtfully designed packaging, meticulously handcrafted",50,18,220,275,FALSE,https://cdn.store.link/products/store18473/1h7dr3-csun-1312.jpg?versionId=hRTc7rJ1gs0hK.gyIii04EW8ac.8xNwp,14,TRUE,37,,,
NA,Himalayan Intimate Wipes,Home Essentials,Home Essentials,"Brand: Himalaya


- Specially formulated for gentle cleansing of the intimate area.
- Helps maintain freshness and personal hygiene throughout the day.
- Provides convenient cleansing when you are on the go.
- Designed for quick and easy use whenever needed.
- Suitable for everyday personal hygiene and travel.",25,18,40,50,FALSE,,21,TRUE,38,,,
CSUN-0350,MDF Wooden Jigsaw Puzzle,Home Essentials,Home Essentials,"Brand: SOIL


- Made of Premium 3mm MDF wood puzzle 
- Available in custom sizes and shapes
- Measures 6 x 6 inches, fits puzzles up to 20-24 pieces",25,18,1140,1900,FALSE,https://cdn.store.link/products/store18473/6eswu1-csun-0350.jpg?versionId=F2ekWgPgPe4lbxozdcCMcOzz.QMpyb20,14,TRUE,39,,,Sustainability
NA120/00,Philips 1000 series Airfryer 4.2L,Home Essentials,Home Essentials,"Brand: Philips


- Rapid air circulation technology delivers crispy, golden results with little to no added oil.
- Cooks food with up to 90% less fat while maintaining great taste and texture.
- Crispy on the outside and tender on the inside for consistently delicious meals.
- Multi-functional design supports 12 cooking modes, including air frying, baking, roasting, grilling, reheating, defrosting, and dehydrating.
- Adjustable time and temperature controls provide precise cooking for a variety of recipes.
- Fast and even heat distribution ensures efficient and consistent cooking performance.
- Non-stick cooking basket helps prevent food from sticking and makes cleanup effortless.
- Dishwasher-safe removable components offer quick and convenient maintenance.
- Ideal for preparing snacks, vegetables, meat, seafood, frozen foods, and baked treats.
- Energy-efficient cooking solution that reduces cooking time compared to conventional ovens.
- Modern, compact design fits seamlessly into home and office kitchen spaces.",25,18,4796,5995,FALSE,https://cdn.store.link/products/store18473/0pm7i8-na120_00.png?versionId=in9N2IqiKWgUBDOMXZ.4QfWvp1PMmBpH,7,TRUE,40,,,
Phool Handmade Ceramic Lotus Diyas,Phool Handmade Ceramic Lotus Diyas,Home Essentials,Home Essentials,"Brand : Phool


- Made by generational artisans through a meticulous crafting process.
-  Involves molding, shaping, polishing, and painting for a perfect finish.
-  Crafted from mud, transformed into elegant lotus-shaped diyas.
-  Symbolizes beauty, purity, and spiritual enlightenment.
-  Reflects Indian art and heritage.",50,18,150,185,FALSE,https://cdn.store.link/products/store18473/-9hzuv-phool-handmade-ceramic-lotus-diyas.jpg?versionId=mkj8ib7eqzXmd4migdyWD.8yKTxznyFQ,21,TRUE,41,,,
Phool Incense Cones,Phool Incense Cones,Home Essentials,Home Essentials,"Brand: Phool


- Made from sacred temple flowers and pure essential oils.
- Handcrafted by women flower cyclers.
-  Each incense cone burns for 30–35 minutes.
-  Provides a positive, rejuvenating experience.
-  Contains 40 cones, a ceramic holder, and a seed card.
-  Available in 18 unique fragrances.",50,18,115,145,FALSE,https://cdn.store.link/products/store18473/cr6c38-phool-natural-incense-cones.jpg?versionId=P9pCpMPKrUkqhUofx.E4W27kahdrmm_i,21,TRUE,42,,,
CSUN-3671,SOIL Eco Coaster,Home Essentials,Home Essentials,"Brand: SOIL


- Crafted from durable MDF wood for long-lasting performance and everyday use.
- Smooth top surface with high-quality vinyl print provides a vibrant and premium finish.
- Protects tabletops and countertops from heat, moisture, scratches, and beverage stains.
- Suitable for cups, mugs, glasses, bottles, and beverage cans of various sizes.
- Non-slip construction helps keep drinks stable while protecting surfaces.
- Lightweight and easy to clean, making it ideal for home, office, and hospitality use.
- Reusable and eco-friendly design offers a sustainable alternative to disposable coasters.
- Supplied as a convenient set of 4 for everyday use and entertaining guests.
- Perfect for offices, cafés, restaurants, conference rooms, and corporate gifting.
- Ideal for custom branding with full-color digital printing, making it an excellent choice for promotional giveaways and branded merchandise.",100,18,420,700,FALSE,https://cdn.store.link/products/store18473/bz43u0-whatsapp%20image%202026-08-07%20at%203.30.02%20pm.jpeg?versionId=rCYTehvo.DpN0_DHI8EXB5b5A7GZaB1E,21,TRUE,43,,,
